Longitude,Latitude,Zip Codes,Sold Month,Days on Market,Original List Price,Listing Price,Sold Price,Taxes,Sold Terms,SqFt - Total (Aprox),List Price/SqFt,Sold Price/SqFt,Basement,Year Built,Aprx. Acres,# Bedrooms,Baths - Total,HOA,Warranty,Seller Concessions,New Construction Y/N,Overall Crime Grade,Violent Crime,Property Crime,Other Crime,Elementary School,ElemRating,Middle School,MiddleRating,High School,HighRating,AirQuality,Walk Score,TrailHikeDistance,WalkingPathDistance,PalygroundDistance,RecCenterDistance,Rest Nearby,NearestGrocery
-85.1299707,35.2087813,37379,July,2,315000,315000,318000,913,VA,1759,179.08,180.78,No,1971,0.34,3,2,No,N,Y,N,A-,A,B+,B+,McConnell Elementary,7,Loftis Middle,7,Soddy-Daisy High,6,65,0,7.40556589488565,5.74367988663618,5.74367988663618,5.74367988663618,Level 4 (16-19),18.64113576712
-85.1740859,35.0160377,37421,March,0,255000,255000,255000,1912.71,FHA,1538,165.8,165.8,No,1958,0.37,3,2,No,N,Y,N,C-,B-,C-,D+,East Brainerd Elem,4,East Hamilton,7,East Hamilton,7,67,41,8.2311628847564,1.32333272551603,1.07656586425006,2.07939084011228,Level 5 (20 and above),2.11266205360694
-85.2710698,34.9894092,37412,July,0,265000,265000,265000,1912.71,Conv,1645,161.09,161.09,No,1950,0,3,2,No,N,N,N,C-,B-,C-,D+,East Ridge Elem,3,East Ridge Middle,3,East Ridge High,3,67,6,6.23176100405897,0.931834476583808,0.931834476583808,0.977356771667675,Level 4 (16-19),5.59234073013601
-85.3259457,34.9892313,37409,July,41,399000,349900,330000,1509.98,Conv,1550,225.74,212.9,No,1959,0.22,5,2,No,N,Y,N,C-,B-,C-,D+,Calvin Donaldson,3,East Lake Academy,3,Howard Academics,2,68,10,5.70104307547847,0.983771213158088,0.447623441236718,1.30872417056211,Level 3 (11-15),10.4390360295872
-85.3363409,34.9888283,37409,April,25,749000,749000,771380,336.55,Conv,2546,294.19,302.98,No,2023,0.77,4,3,No,Y,N,Y,C-,B-,C-,D+,Calvin Donaldson,3,Lookout Valley Mid,5,Lookout Valley High,5,68,6,5.810517691651,1.43576947924771,0.504124867033157,1.46531265724391,Level 2 (6-10),11.4953670563907
-85.326889,34.99218,37409,July,5,545000,545000,505000,2413.05,Conv,2535,214.99,199.21,No,1950,0.22,5,3,No,Y,Y,N,C-,B-,C-,D+,Calvin Donaldson,3,East Lake Academy,3,Howard Academics,2,68,9,5.50345133087824,0.870568400538119,0.263957289485247,1.10701490420942,Level 4 (16-19),10.8118587449296
-85.2935373,35.0902471,37415,March,3,335000,335000,360000,2536.45,Conv,1529,219.1,235.45,No,1956,1,3,2,No,N,N,N,C-,B-,C-,D+,Rivermont Elementary,5,Red Bank Middle,3,Red Bank High School,4,67,4,1.85305895968731,1.66223747473602,1.2817718355869,1.2817718355869,Level 5 (20 and above),13.1109321562077
-85.1132097,35.3767584,37373,April,0,234000,234000,240000,732.16,FHA,1377,169.93,174.29,No,1987,0.46,3,2,No,N,N,N,A-,B+,B+,A-,North Hamilton Elem,7,Sale Creek Middle,6,Sale Creek High,6,66,13,18.070701141237,16.8405304002746,16.8405304002746,16.8405304002746,Level 1 (1-5),19.0760956016862
-85.2090835,35.0723356,37406,August,10,280000,249000,249000,1845.4,Conv,1976,126.01,126.01,No,1966,0.24,4,2,No,N,N,N,C-,B-,C-,D+,Harrison Elementary,2,Dalewood Middle,2,Brainerd High,2,67,3,3.98793444382519,1.2520931684773,2.03534698448677,2.03534698448677,Level 4 (16-19),5.65447784935974
-85.1734884,35.0321251,37421,Feb,2,400000,400000,408000,3179.25,Conv,2208,181.16,184.78,No,2000,0.17,3,2,No,N,N,N,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,62,33,7.19269476973218,1.03156816932101,1.03156816932101,1.03156816932101,Level 5 (20 and above),2.67189612662054
-85.227258,35.0385027,37411,Feb,29,549900,549900,515000,3021,Conv,4000,137.47,128.75,No,1968,1.5,4,3,No,N,N,N,C-,B-,C-,D+,Woodmore Elementary,4,Dalewood Middle,2,Brainerd High,2,67,10,5.55760985793529,1.83748225516015,0.906488266312955,0.906488266312955,Level 3 (11-15),4.1010498687664
-85.2083016,35.0108884,37404,August,98,899000,799000,775000,3064.83,Conv,4200,190.24,184.52,No,1977,1.22,4,4,No,N,N,N,C-,B-,C-,D+,East Ridge Elem,3,East Ridge Middle,3,East Ridge High,3,67,49,7.43171893256141,0.791076836556143,0.791076836556143,1.28768070308605,Level 4 (16-19),0.807782549908534
-85.1758506,35.033313,37421,Jun,150,289900,295000,282000,1739.95,FHA,1500,196.67,188,No,1955,0,3,2,No,N,Y,N,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,62,36,7.06946800212981,0.90276356640757,0.90276356640757,0.90276356640757,Level 5 (20 and above),2.11266205360694
-85.1390258,34.9974501,37421,April,2,565000,565000,600000,4824.97,Conv,3182,177.56,188.56,No,2006,0.24,4,3,Yes,N,N,N,C-,B-,C-,D+,East Brainerd Elem,4,East Hamilton,7,East Hamilton,7,67,33,10.1679577021843,1.11198829916165,1.11198829916165,4.09951024944235,Level 4 (16-19),5.28165513401734
-85.2586545,35.1094621,37415,September,2,239000,239000,242500,1588.5,Conv,1638,145.91,148.05,No,1950,0.27,3,2,No,N,Y,N,C-,B-,C-,D+,DuPont Elementary,5,Hixson Middle,5,Hixson High,5,62,24,2.66358313427834,0.725622266791074,0.725622266791074,0.685503519049005,Level 4 (16-19),10.1904875526923
-85.3634153,35.0441956,37419,September,7,175000,175000,185000,1368.63,Conv,1360,128.68,136.03,No,1960,0.35,3,2,No,N,N,N,C-,B-,C-,D+,Lookout Valley Elem,6,Lookout Valley Mid,5,Lookout Valley High,5,67,1,3.23154863913098,2.62096366169677,0.753317818354967,2.62096366169677,Level 4 (16-19),13.1109321562077
-85.150893,35.0608487,  ,Jun,19,325000,325000,305000,2180.83,Conv,1630,199.39,187.12,No,2005,0.08,3,3,No,N,N,N,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,67,21,6.08949718903772,0.182504476143729,2.03135492312504,0.182504476143729,Level 5 (20 and above),4.66028394178
-85.2993294,35.0411202,37403,July,0,470000,470000,470000,3519.17,Conv,2448,191.99,191.99,No,1920,0.09,5,3,No,N,Y,N,C-,B-,C-,D+,Brown Academy,3,Orchard Knob Middle,4,Howard Academics,2,67,81,2.31987895530834,0.547715667784768,0.333120011563615,0.547715667784768,Level 5 (20 and above),6.40012328004454
